Gliese2 index,B-V color,absolute magnitude
GL186.1,0.63,5.20
GL187.0,0.42,3.80
GL187.1,0.75,8.60
GL187.2A,0.34,3.40
GL189.0,0.52,4.10
GL189.1,0.60,4.40
GL189.2,0.45,3.50
GL191.0,1.56,10.85
GL193.0,0.73,5.70
GL196.0,0.48,3.70
GL197.0,0.62,3.84
GL198.0,0.57,5.00
GL200.1,1.16,11.50
GL201.0,1.09,7.00
GL202.0,0.53,4.00
GL203.0,1.64,12.78
GL204.0,1.10,6.90
GL204.1,0.78,5.30
GL205.0,1.47,9.12
GL206.0,1.62,10.73
GL207.2,0.94,7.10
GL208.0,1.38,8.50
GL209.0,0.67,5.00
GL209.1,0.46,3.60
GL210.0,0.61,5.10
GL211.0,0.84,6.07
GL212.0,1.49,9.62
GL213.0,1.65,12.73
GL214.0,0.79,6.90
GL215.0,1.40,8.45
GL216.0A,0.47,4.05
GL216.0B,0.94,6.60
GL217.0,0.83,6.20
GL217.1,0.10,1.80
GL217.2,0.76,6.10
GL219.0,0.17,2.50
GL221.0,1.32,8.60
GL222.0,0.59,4.43
GL223.0,1.01,7.90
GL223.1,1.14,8.20
GL223.2,1.06,15.62
GL223.3,0.90,5.40
GL224.0,0.65,4.90
GL224.1,1.05,3.00
GL225.0,0.33,2.80
GL225.1,0.64,6.90
GL226.2,1.25,7.90
GL226.3,0.60,4.40
GL227.0,0.81,6.00
GL229.0,1.50,9.33
GL230.0,0.66,5.23
GL231.0,0.72,5.39
GL231.1A,0.61,4.40
GL231.1B,1.41,12.10
GL233.0,0.94,6.40
GL239.0,1.50,9.71
GL239.1,1.05,2.60
GL240.1,0.50,3.80
GL241.0,1.02,7.40
GL242.0,0.43,2.10
GL243.0,0.54,4.70
GL245.0,0.56,4.37
GL245.1,0.49,4.00
GL246.0,-0.08,11.00
GL247.0,1.20,7.70
GL248.0,0.21,2.10
GL249.0,1.24,8.00
GL249.1,0.45,3.50
GL250.0A,1.05,6.68
GL250.0B,1.50,10.20
GL251.0,1.60,11.03
GL252.0,0.58,4.40
GL253.0,0.79,6.10
GL254.0,1.36,8.60
GL256.0,1.13,7.40
GL257.1,0.99,6.30
GL259.0,0.90,6.00
GL260.0,0.81,5.80
GL262.0,0.60,4.80
GL264.0,1.18,7.40
GL264.1A,0.65,4.30
GL264.1B,0.80,5.60
GL265.0A,1.32,8.70
GL265.0B,1.10,13.10
GL267.0,0.96,6.70
GL268.0,1.71,12.62
