Gliese2 index,B-V color,absolute magnitude
GL862.1,0.56,4.40
GL863.0,1.50,9.40
GL863.2,0.44,3.40
GL863.3,0.67,5.20
GL864.0,1.42,9.15
GL866.0,1.96,14.60
GL867.0A,1.49,9.50
GL867.0B,1.62,11.80
GL867.1C,1.61,12.30
GL868.0,1.13,7.20
GL869.0,0.80,5.80
GL870.0,1.11,7.20
GL872.0A,0.50,2.60
GL873.0,1.60,11.65
GL876.0,1.60,11.77
GL878.1A,0.64,5.50
GL878.1B,0.42,14.00
GL879.0,1.10,7.03
GL880.0,1.51,9.50
GL881.0,0.09,2.03
GL882.0,0.67,4.82
GL884.0,1.39,8.46
GL886.2,0.29,3.60
GL887.0,1.46,9.59
GL889.0,1.34,8.20
GL891.1,0.30,2.80
GL892.0,1.00,6.41
GL893.0,0.52,6.20
GL893.2A,1.11,1.80
GL894.2A,0.79,3.60
GL894.2B,0.91,6.00
GL894.3,-0.30,10.40
GL894.4,0.80,5.90
GL894.5,0.89,6.70
GL895.0,1.51,9.70
GL895.3,1.32,8.30
GL895.4,0.83,5.30
GL896.0A,1.56,11.33
GL898.0,1.25,8.00
GL900.0,1.35,8.60
GL900.1,0.79,6.00
GL902.0,0.99,6.90
GL902.1,0.81,5.80
GL903.0,1.03,2.27
GL904.0,0.51,3.39
GL905.0,1.92,14.80
GL905.2A,1.55,10.90
GL905.2B,0.15,12.10
GL908.0,1.48,10.19
GL908.1,1.26,7.80
GL910.0,1.39,8.40
GL912.0,1.46,10.10
GL913.0,1.44,8.60
GL914.0A,0.67,5.38
GL915.0,0.07,13.48
